"word","pos","definition_ko","ipa","forms"
"word","verb","말로 표현하다, 글로 나타내다","/wɜːd/","[{""form"": ""words"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""wording"", ""tags"": [""participle"", ""present""]}, {""form"": ""worded"", ""tags"": [""participle"", ""past""]}, {""form"": ""worded"", ""tags"": [""past""]}, {""form"": ""wurd"", ""tags"": [""alternative"", ""pronunciation-spelling""]}, {""form"": ""worde"", ""tags"": [""alternative"", ""obsolete""]}]"
"book","noun","책, 도서","/bʊk/","[{""form"": ""books"", ""tags"": [""plural""]}, {""form"": ""boke"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""booke"", ""tags"": [""alternative"", ""archaic""]}]"
"book","verb","예약(豫約)하다","/bʊk/","[{""form"": ""books"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""booking"", ""tags"": [""participle"", ""present""]}, {""form"": ""booked"", ""tags"": [""participle"", ""past""]}]"
"pound","noun","파운드","/paʊnd/","[{""form"": ""pounds"", ""tags"": [""plural""]}, {""form"": ""pound"", ""tags"": [""UK"", ""colloquial"", ""plural""]}, {""form"": ""poun"", ""tags"": [""alternative""]}, {""form"": ""pown"", ""tags"": [""alternative""]}]"
"pound","verb","(방아)찧다, 빻다","/paʊnd/","[{""form"": ""pounds"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""pounding"", ""tags"": [""participle"", ""present""]}, {""form"": ""pounded"", ""tags"": [""participle"", ""past""]}, {""form"": ""poun"", ""tags"": [""alternative""]}, {""form"": ""pown"", ""tags"": [""alternative""]}]"
"pond","noun","못, 연못","/pɒnd/","[{""form"": ""ponds"", ""tags"": [""plural""]}]"
"pond","verb","가두다, 못에 모으다, 물을 고이게 하다","/pɒnd/","[{""form"": ""ponds"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""ponding"", ""tags"": [""participle"", ""present""]}, {""form"": ""ponded"", ""tags"": [""participle"", ""past""]}, {""form"": ""ponded"", ""tags"": [""past""]}]"
"nonsense","noun","무의미, 어리석은 소리, 개소리, 헛소리, 난센스","/ˈnɒn.səns/","[{""form"": ""nonsenses"", ""tags"": [""plural""]}, {""form"": ""nonsence"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""non-sense"", ""tags"": [""alternative""]}]"
"nonsense","verb","헛소리하다, 허튼소리를 하다","/ˈnɒn.səns/","[{""form"": ""nonsenses"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""nonsensing"", ""tags"": [""participle"", ""present""]}, {""form"": ""nonsensed"", ""tags"": [""participle"", ""past""]}, {""form"": ""nonsensed"", ""tags"": [""past""]}, {""form"": ""nonsence"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""non-sense"", ""tags"": [""alternative""]}]"
"nonsense","adj","무의미한, 터무니없는, 말도 안 되는","/ˈnɒn.səns/","[{""form"": ""more nonsense"", ""tags"": [""comparative""]}, {""form"": ""most nonsense"", ""tags"": [""superlative""]}, {""form"": ""nonsence"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""non-sense"", ""tags"": [""alternative""]}]"
"nonsense","intj","무의미, 어리석은 소리, 개소리, 헛소리, 난센스","/ˈnɒn.səns/","[{""form"": ""nonsence"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""non-sense"", ""tags"": [""alternative""]}]"
"pie","noun","파이","/paɪ/","[{""form"": ""pies"", ""tags"": [""plural""]}]"
"pie","verb","파이를 던지다, 파이로 얼굴을 치다","/paɪ/","[{""form"": ""pies"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""pieing"", ""tags"": [""participle"", ""present""]}, {""form"": ""pied"", ""tags"": [""participle"", ""past""]}, {""form"": ""pied"", ""tags"": [""past""]}]"
"a","num","에이","/eɪ̯/","[{""form"": ""a"", ""tags"": [""lowercase""]}, {""form"": ""As"", ""tags"": [""plural""]}, {""form"": ""A's"", ""tags"": [""plural""]}, {""form"": ""·"", ""tags"": [""alternative""]}, {""form"": ""A"", ""tags"": [""uppercase""]}, {""form"": ""as"", ""tags"": [""plural""]}, {""form"": ""a's"", ""tags"": [""plural""]}]"
"a","noun","에이","/æ/","[{""form"": ""a's"", ""tags"": [""plural""]}, {""form"": ""aes"", ""tags"": [""plural"", ""rare""]}, {""form"": ""uh"", ""tags"": [""alternative""]}]"
"a","adj","첫 번째 등급의, 최상의","/ɔ/","[{""form"": ""a'"", ""tags"": [""alternative""]}]"
"elephant","noun","코끼리","/ˈɛl.ɪ.fənt/","[{""form"": ""elephants"", ""tags"": [""plural""]}]"
"brown","noun","갈색","/bɹaʊn/","[{""form"": ""browns"", ""tags"": [""plural""]}, {""form"": ""broon"", ""tags"": [""alternative"", ""Northumbria""]}]"
"brown","adj","갈색의","/bɹaʊn/","[{""form"": ""browner"", ""tags"": [""comparative""]}, {""form"": ""more brown"", ""tags"": [""comparative""]}, {""form"": ""brownest"", ""tags"": [""superlative""]}, {""form"": ""most brown"", ""tags"": [""superlative""]}, {""form"": ""broon"", ""tags"": [""alternative"", ""Northumbria""]}]"
"brown","verb","갈색이 되다, 갈색으로 굽다, 노릇노릇하게 굽다","/bɹaʊn/","[{""form"": ""browns"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""browning"", ""tags"": [""participle"", ""present""]}, {""form"": ""browned"", ""tags"": [""participle"", ""past""]}, {""form"": ""browned"", ""tags"": [""past""]}, {""form"": ""broon"", ""tags"": [""alternative"", ""Northumbria""]}]"
"month","noun","달, 월, 월간","/mʌnθ/","[{""form"": ""months"", ""tags"": [""plural""]}, {""form"": ""month"", ""tags"": [""UK"", ""colloquial"", ""plural""]}, {""form"": ""moneth"", ""tags"": [""alternative""]}]"
"march","noun","행진, 행진곡","/mɑɹt͡ʃ/","[{""form"": ""marches"", ""tags"": [""plural""]}]"
"march","verb","행군하다","/mɑɹt͡ʃ/","[{""form"": ""marches"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""marching"", ""tags"": [""participle"", ""present""]}, {""form"": ""marched"", ""tags"": [""participle"", ""past""]}]"
"may","verb","할 수 있다","/meɪ/","[{""form"": ""may"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""might"", ""tags"": [""past""]}, {""form"": ""maye"", ""tags"": [""alternative""]}, {""form"": ""mays"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""maying"", ""tags"": [""participle"", ""present""]}, {""form"": ""mayed"", ""tags"": [""participle"", ""past""]}]"
"may","noun","할 수 있다","/meɪ/","[]"
"august","adj","위엄 있는, 존엄한","/ɔːˈɡʌst/","[{""form"": ""auguster"", ""tags"": [""comparative""]}, {""form"": ""more august"", ""tags"": [""comparative""]}, {""form"": ""augustest"", ""tags"": [""superlative""]}, {""form"": ""most august"", ""tags"": [""superlative""]}]"
"day","noun","낮, 일주야, 하루, 일, 날, 주간","/deɪ̯/","[{""form"": ""days"", ""tags"": [""plural""]}, {""form"": ""daie"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""daye"", ""tags"": [""alternative"", ""obsolete""]}]"
"monday","noun","월요일, 월요","/ˈmʌn.deɪ/","[{""form"": ""Mondays"", ""tags"": [""plural""]}]"
"monday","adv","월요일에","/ˈmʌn.deɪ/","[]"
"tuesday","noun","화요일, 화요","/ˈtjuːz.deɪ/","[{""form"": ""Tuesdays"", ""tags"": [""plural""]}]"
"tuesday","adv","화요일에","/ˈtjuːz.deɪ/","[]"
"wednesday","noun","수요일, 수요","/ˈwɛnz.deɪ/","[{""form"": ""Wednesdays"", ""tags"": [""plural""]}]"
"wednesday","adv","수요일에","/ˈwɛnz.deɪ/","[]"
"thursday","noun","목요일, 목요","/ˈθɜːz.deɪ/","[{""form"": ""Thursdays"", ""tags"": [""plural""]}]"
"thursday","adv","목요일에","/ˈθɜːz.deɪ/","[]"
"friday","noun","금요일, 금요","/ˈfɹaɪ.deɪ/","[{""form"": ""Fridays"", ""tags"": [""plural""]}]"
"friday","adv","금요일에","/ˈfɹaɪ.deɪ/","[]"
"saturday","noun","토요일, 토요","/ˈsæt.ə.deɪ/","[{""form"": ""Saturdays"", ""tags"": [""plural""]}]"
"saturday","adv","토요일에","/ˈsæt.ə.deɪ/","[]"
"saturday","verb","토요일을 보내다","/ˈsæt.ə.deɪ/","[{""form"": ""Saturdays"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""Saturdaying"", ""tags"": [""participle"", ""present""]}, {""form"": ""Saturdayed"", ""tags"": [""participle"", ""past""]}, {""form"": ""Saturdayed"", ""tags"": [""past""]}]"
"sunday","noun","일요일, 일요","/ˈsʌn.deɪ/","[{""form"": ""Sundays"", ""tags"": [""plural""]}]"
"sunday","verb","일요일을 보내다","/ˈsʌn.deɪ/","[{""form"": ""Sundays"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""Sundaying"", ""tags"": [""participle"", ""present""]}, {""form"": ""Sundayed"", ""tags"": [""participle"", ""past""]}, {""form"": ""Sundayed"", ""tags"": [""past""]}]"
"sunday","adv","일요일에","/ˈsʌn.deɪ/","[]"
"hour","noun","시, 시간","/aʊɚ/","[{""form"": ""hours"", ""tags"": [""plural""]}, {""form"": ""hower"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""houre"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""howre"", ""tags"": [""alternative"", ""obsolete""]}]"
"minute","noun","분, 회의록, 의사록","/ˈmɪnɪt/","[{""form"": ""minutes"", ""tags"": [""plural""]}]"
"minute","verb","세세히 기록하다, 회의록을 작성하다","/ˈmɪnɪt/","[{""form"": ""minutes"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""minuting"", ""tags"": [""participle"", ""present""]}, {""form"": ""minuted"", ""tags"": [""participle"", ""past""]}, {""form"": ""minuted"", ""tags"": [""past""]}]"
"minute","adj","아주 작은, 미세한, 극미한","[maɪ̯ˈn(j)u̟(ː)t]","[{""form"": ""minuter"", ""tags"": [""comparative""]}, {""form"": ""more minute"", ""tags"": [""comparative""]}, {""form"": ""minutest"", ""tags"": [""superlative""]}, {""form"": ""most minute"", ""tags"": [""superlative""]}]"
"trade","noun","거래, 교역, 무역, 상업, 교환, 기술","/tɹeɪd/","[{""form"": ""trades"", ""tags"": [""plural""]}]"
"trade","verb","교환하다, 바꾸다","/tɹeɪd/","[{""form"": ""trades"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""trading"", ""tags"": [""participle"", ""present""]}, {""form"": ""traded"", ""tags"": [""participle"", ""past""]}, {""form"": ""traded"", ""tags"": [""past""]}]"
"trade","adj","무역의, 거래의, 상업의","/tɹeɪd/","[]"
"craft","noun","공예, 기술","/kɹɑːft/","[{""form"": ""craft"", ""tags"": [""plural""]}, {""form"": ""crafts"", ""tags"": [""plural""]}]"
"craft","verb","정교하게 만들다","/kɹɑːft/","[{""form"": ""crafts"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""crafting"", ""tags"": [""participle"", ""present""]}, {""form"": ""crafted"", ""tags"": [""participle"", ""past""]}, {""form"": ""crafted"", ""tags"": [""past""]}]"
"deal","noun","거래, 합의","/diːl/","[{""form"": ""deals"", ""tags"": [""plural""]}]"
"deal","verb","거래하다, 다루다, 취급하다, 나누어주다","/diːl/","[{""form"": ""deals"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""dealing"", ""tags"": [""participle"", ""present""]}, {""form"": ""dealt"", ""tags"": [""participle"", ""past""]}, {""form"": ""dealt"", ""tags"": [""past""]}, {""form"": ""dealed"", ""tags"": [""nonstandard"", ""participle"", ""past""]}, {""form"": ""dealed"", ""tags"": [""nonstandard"", ""past""]}]"
"deal","adj","거래, 합의","/diːl/","[]"
"product","noun","상품, 제품, 생성물, 결과, 적, 곱","/ˈpɹɒd.əkt/","[{""form"": ""products"", ""tags"": [""plural""]}]"
"eagle","noun","독수리","/ˈiːɡəl/","[{""form"": ""eagles"", ""tags"": [""plural""]}, {""form"": ""Eagles"", ""tags"": [""plural""]}]"
"eagle","verb","이글을 치다, 기준 타수보다 2타 적게 치다","/ˈiːɡəl/","[{""form"": ""eagles"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""eagling"", ""tags"": [""participle"", ""present""]}, {""form"": ""eagled"", ""tags"": [""participle"", ""past""]}, {""form"": ""eagled"", ""tags"": [""past""]}]"
"head","noun","머리, 두뇌, 마리, 통","/ˈhɛd/","[{""form"": ""heads"", ""tags"": [""plural""]}, {""form"": ""head"", ""tags"": [""plural""]}, {""form"": ""heed"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""hed"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""'ead"", ""tags"": [""alternative"", ""UK"", ""pronunciation-spelling""]}, {""form"": ""heead"", ""tags"": [""alternative""]}]"
"head","adj","머리의, 수석의, 주요한","/ˈhɛd/","[{""form"": ""heed"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""hed"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""'ead"", ""tags"": [""alternative"", ""UK"", ""pronunciation-spelling""]}, {""form"": ""heead"", ""tags"": [""alternative""]}]"
"head","verb","향하다, 이끌다, 선두에 서다","/ˈhɛd/","[{""form"": ""heads"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""heading"", ""tags"": [""participle"", ""present""]}, {""form"": ""headed"", ""tags"": [""participle"", ""past""]}, {""form"": ""headed"", ""tags"": [""past""]}, {""form"": ""heed"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""hed"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""'ead"", ""tags"": [""alternative"", ""UK"", ""pronunciation-spelling""]}, {""form"": ""heead"", ""tags"": [""alternative""]}]"
"name","noun","이름, 성함, 명칭, 평판, 명성, 세평","/neɪm/","[{""form"": ""names"", ""tags"": [""plural""]}, {""form"": ""nyem"", ""tags"": [""alternative"", ""Geordie""]}]"
"name","verb","이름짓다, 고르다, 선택하다, 자세히 기입하다, 지명하다, 임명하다","/neɪm/","[{""form"": ""names"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""naming"", ""tags"": [""participle"", ""present""]}, {""form"": ""named"", ""tags"": [""participle"", ""past""]}, {""form"": ""named"", ""tags"": [""past""]}]"
"abandon","verb","단념(斷念)하다, 염단(念斷)하다, 절념(絶念)하다, 체관(諦觀)하다, 방치(放置)하다, 기치(棄置)하다, 버리다, 떠나다, 포기(抛棄)하다","/əˈbæn.dən/","[{""form"": ""abandons"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""abandoning"", ""tags"": [""participle"", ""present""]}, {""form"": ""abandoned"", ""tags"": [""participle"", ""past""]}, {""form"": ""abandoned"", ""tags"": [""past""]}, {""form"": ""no-table-tags"", ""tags"": [""table-tags""]}, {""form"": ""glossary"", ""tags"": [""inflection-template""]}, {""form"": ""abandon"", ""tags"": [""infinitive""]}, {""form"": ""abandon"", ""tags"": [""first-person"", ""present"", ""singular""]}, {""form"": ""abandoned"", ""tags"": [""first-person"", ""past"", ""singular""]}, {""form"": ""abandon"", ""tags"": [""present"", ""second-person"", ""singular""]}, {""form"": ""abandonest"", ""tags"": [""archaic"", ""present"", ""second-person"", ""singular""]}, {""form"": ""abandoned"", ""tags"": [""past"", ""second-person"", ""singular""]}, {""form"": ""abandonedst"", ""tags"": [""archaic"", ""past"", ""second-person"", ""singular""]}, {""form"": ""abandons"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""abandoneth"", ""tags"": [""archaic"", ""present"", ""singular"", ""third-person""]}, {""form"": ""abandoned"", ""tags"": [""past"", ""singular"", ""third-person""]}, {""form"": ""abandon"", ""tags"": [""plural"", ""present""]}, {""form"": ""abandoned"", ""tags"": [""past"", ""plural""]}, {""form"": ""abandon"", ""tags"": [""present"", ""subjunctive""]}, {""form"": ""abandoned"", ""tags"": [""past"", ""subjunctive""]}, {""form"": ""abandon"", ""tags"": [""imperative"", ""present""]}, {""form"": ""abandoning"", ""tags"": [""participle"", ""present""]}, {""form"": ""abandoned"", ""tags"": [""participle"", ""past""]}]"
"abandon","noun","단념(斷念)하다, 염단(念斷)하다, 절념(絶念)하다, 체관(諦觀)하다, 방치(放置)하다, 기치(棄置)하다, 버리다, 떠나다, 포기(抛棄)하다","/əˈbæn.dən/","[{""form"": ""abandons"", ""tags"": [""plural""]}]"
"ability","noun","능력","/əˈbɪl.ə.ti/","[{""form"": ""abilities"", ""tags"": [""plural""]}, {""form"": ""abilitie"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""hability"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""habilitie"", ""tags"": [""alternative"", ""obsolete""]}]"
"able","adj","할 수 있는, 능란한, 유자격의","/ˈeɪ.bl̩/","[{""form"": ""abler"", ""tags"": [""comparative""]}, {""form"": ""ablest"", ""tags"": [""superlative""]}, {""form"": ""hable"", ""tags"": [""alternative"", ""obsolete""]}]"
"able","verb","할 수 있다, 가능하게 하다","/ˈeɪ.bl̩/","[{""form"": ""ables"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""abling"", ""tags"": [""participle"", ""present""]}, {""form"": ""abled"", ""tags"": [""participle"", ""past""]}, {""form"": ""abled"", ""tags"": [""past""]}, {""form"": ""hable"", ""tags"": [""alternative"", ""obsolete""]}]"
"able","noun","할 수 있는, 능란한, 유자격의","/ˈeɪ.bl̩/","[{""form"": ""hable"", ""tags"": [""alternative"", ""obsolete""]}]"
"abortion","noun","인공유산, 낙태, 락태, 타태","/əˈbɔɹ.ʃn̩/","[{""form"": ""abortions"", ""tags"": [""plural""]}]"
"about","prep","~에 대한, ~에 대해, ~에 관한, ~에 관해","/əˈbaʊt/","[{""form"": ""aboot"", ""tags"": [""alternative"", ""Northumbria""]}, {""form"": ""abowt"", ""tags"": [""alternative""]}, {""form"": ""a."", ""tags"": [""alternative""]}, {""form"": ""ab."", ""tags"": [""alternative""]}, {""form"": ""abt."", ""tags"": [""alternative""]}]"
"about","adv","이곳저곳, 여기저기, 쯤, 대략, 약, 경, 거꾸로, 둥글게","/əˈbaʊt/","[{""form"": ""aboot"", ""tags"": [""alternative"", ""Northumbria""]}, {""form"": ""abowt"", ""tags"": [""alternative""]}, {""form"": ""a."", ""tags"": [""alternative""]}, {""form"": ""ab."", ""tags"": [""alternative""]}, {""form"": ""abt."", ""tags"": [""alternative""]}]"
"about","adj","~에 대한, ~에 관한","/əˈbaʊt/","[{""form"": ""aboot"", ""tags"": [""alternative"", ""Northumbria""]}, {""form"": ""abowt"", ""tags"": [""alternative""]}, {""form"": ""a."", ""tags"": [""alternative""]}, {""form"": ""ab."", ""tags"": [""alternative""]}, {""form"": ""abt."", ""tags"": [""alternative""]}]"
"about","verb","방향을 바꾸다, 돌리다","/əˈbaʊt/","[{""form"": ""abouts"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""abouting"", ""tags"": [""participle"", ""present""]}, {""form"": ""abouted"", ""tags"": [""participle"", ""past""]}, {""form"": ""abouted"", ""tags"": [""past""]}, {""form"": ""aboot"", ""tags"": [""alternative"", ""Northumbria""]}, {""form"": ""abowt"", ""tags"": [""alternative""]}, {""form"": ""a."", ""tags"": [""alternative""]}, {""form"": ""ab."", ""tags"": [""alternative""]}, {""form"": ""abt."", ""tags"": [""alternative""]}]"
"above","prep","...위에, ...우에","/əˈbʌv/","[{""form"": ""aboue"", ""tags"": [""alternative"", ""obsolete""]}]"
"above","adv","...위에, ...우에","/əˈbʌv/","[{""form"": ""aboue"", ""tags"": [""alternative"", ""obsolete""]}]"
"above","adj","위의, 상기의","/əˈbʌv/","[{""form"": ""aboue"", ""tags"": [""alternative"", ""obsolete""]}]"
"above","noun","...위에, ...우에","/əˈbʌv/","[{""form"": ""aboue"", ""tags"": [""alternative"", ""obsolete""]}]"
"abroad","adv","해외에, 국외로, 널리","/əˈbɹɔːd/","[{""form"": ""abrode"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""overbroad"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""abread"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abreed"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abrede"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abraid"", ""tags"": [""alternative"", ""Scotland""]}]"
"abroad","prep","국외, 해외","/əˈbɹɔːd/","[{""form"": ""abrode"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""overbroad"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""abread"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abreed"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abrede"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abraid"", ""tags"": [""alternative"", ""Scotland""]}]"
"abroad","adj","해외의, 국외의","/əˈbɹɔːd/","[{""form"": ""abrode"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""overbroad"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""abread"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abreed"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abrede"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""abraid"", ""tags"": [""alternative"", ""Scotland""]}]"
"on","adj","작동 중인, 켜진, 진행 중인","/ɒn/","[]"
"on","adv","...위에","/ɒn/","[]"
"on","prep","...위에","/ɒn/","[{""form"": ""ohn"", ""tags"": [""alternative""]}]"
"on","verb","계속하다, 진행하다","/ɒn/","[{""form"": ""ons"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""oning"", ""tags"": [""participle"", ""present""]}, {""form"": ""onning"", ""tags"": [""participle"", ""present""]}, {""form"": ""oned"", ""tags"": [""participle"", ""past""]}, {""form"": ""oned"", ""tags"": [""past""]}, {""form"": ""onned"", ""tags"": [""participle"", ""past""]}, {""form"": ""onned"", ""tags"": [""past""]}]"
"on","noun","...위에","/ɒn/","[]"
"odd","adj","기수의, 홀수의, 우수리","/ɒd/","[{""form"": ""odder"", ""tags"": [""comparative""]}, {""form"": ""oddest"", ""tags"": [""superlative""]}]"
"odd","noun","기수의, 홀수의, 우수리","/ɒd/","[{""form"": ""odds"", ""tags"": [""plural""]}]"
"calendar","noun","역법, 력법, -력, 달력, 캘린더","/ˈkæl.ən.də/","[{""form"": ""calendars"", ""tags"": [""plural""]}, {""form"": ""kalendar"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""calender"", ""tags"": [""alternative"", ""obsolete""]}]"
"calendar","verb","일정에 기록하다, 달력에 적다","/ˈkæl.ən.də/","[{""form"": ""calendars"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""calendaring"", ""tags"": [""participle"", ""present""]}, {""form"": ""calendared"", ""tags"": [""participle"", ""past""]}, {""form"": ""calendared"", ""tags"": [""past""]}, {""form"": ""kalendar"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""calender"", ""tags"": [""alternative"", ""obsolete""]}]"
"week","noun","주, 주일","/wiːk/","[{""form"": ""weeks"", ""tags"": [""plural""]}, {""form"": ""weeke"", ""tags"": [""alternative"", ""obsolete""]}]"
"week","intj","주, 주일","/wiːk/","[]"
"leap","verb","뛰다, 도약하다","/liːp/","[{""form"": ""leaps"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""leaping"", ""tags"": [""participle"", ""present""]}, {""form"": ""leaped"", ""tags"": [""past""]}, {""form"": ""leapt"", ""tags"": [""past""]}, {""form"": ""lept"", ""tags"": [""archaic"", ""past""]}, {""form"": ""lope"", ""tags"": [""obsolete"", ""past""]}, {""form"": ""leaped"", ""tags"": [""participle"", ""past""]}, {""form"": ""leapt"", ""tags"": [""participle"", ""past""]}, {""form"": ""lept"", ""tags"": [""archaic"", ""participle"", ""past""]}, {""form"": ""lope"", ""tags"": [""obsolete"", ""participle"", ""past""]}, {""form"": ""lopen"", ""tags"": [""obsolete"", ""participle"", ""past""]}]"
"leap","noun","도약, 뛰어오름","/liːp/","[{""form"": ""leaps"", ""tags"": [""plural""]}, {""form"": ""leep"", ""tags"": [""alternative""]}]"
"leap","adj","윤년의","/liːp/","[]"
"winter","noun","겨울, 동계","/ˈwɪntə/","[{""form"": ""winters"", ""tags"": [""plural""]}, {""form"": ""Winter"", ""tags"": [""alternative""]}]"
"winter","verb","겨울을 나다, 월동하다","/ˈwɪntə/","[{""form"": ""winters"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""wintering"", ""tags"": [""participle"", ""present""]}, {""form"": ""wintered"", ""tags"": [""participle"", ""past""]}, {""form"": ""wintered"", ""tags"": [""past""]}, {""form"": ""Winter"", ""tags"": [""alternative""]}]"
"bone","noun","뼈, 뼈다귀","/bəʊn/","[{""form"": ""bones"", ""tags"": [""plural""]}, {""form"": ""bane"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""byen"", ""tags"": [""alternative"", ""dialectal""]}]"
"bone","adj","뼈의, 뼈로 된","/bəʊn/","[{""form"": ""bane"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""byen"", ""tags"": [""alternative"", ""dialectal""]}]"
